language;sample;класс;type
FL;Я полюбила в языки (FL, 4597);эмоции;kuda_otkuda
FL;Познакомиться в историю города (FL, 6193);эмоции;kuda_otkuda
FL;У неё никакие связи в Россию (FL, 4754);контакт;kuda_otkuda
FL;Идёт на свою дорогу в жизни (FL, 6236);про_метафора;kuda_otkuda
FL;Бегать с скоростью к стене, и все (FL, 5007);про_метафора;kuda_otkuda
FL;Ходят на улице мешая другим и не с дороги идут (FL, 6204);про_метафора;kuda_otkuda
FL;И также научилась смеяться на его шутки (FL, 4508);коммуникация;kuda_otkuda
FL;Встал рано сегодня утром на то, что у меня зуб сильно болел (FL, 4453);причина;kuda_otkuda
FL;Просыпающего на новый день (FL, 4596);другой;kuda_otkuda
FL;Готовлясь на переезд, я морально себя готовила к тому, что будет не легко (FL, 4597);другой;kuda_otkuda
HL;"Паниковала очень много к вступительном экзаменом  (HL, 4277); ";эмоции;kuda_otkuda
HL;Разбуживают меня к работе (HL, 4314);другой;kuda_otkuda
FL;Языковые явления, на которые она вернется снова (FL, 5041);про_метафора;kuda_otkuda
FL;Королева взглянула ко мне, и вдруг я опала в обморок (FL, 6154);зрение;kuda_otkuda
FL;Никогда не забывал говорить спасибо, смотрел ко мне в глаза (FL, 4798);зрение;kuda_otkuda
HL;У меня наконец компания на путешествие (HL, 4277);абс_сущ;kuda_otkuda
FL;Когда я начала мой путь на учебу (FL, 4636);про_метафора;kuda_otkuda
FL;У таких людей есть видение в будущее и ценност (FL, 5091);зрение;kuda_otkuda
FL;Теперь учёба заполняет на мои будни, а о будущем кто знает (FL, 5067);про_метафора;kuda_otkuda
HL;В Россию окружает просто ужасная погода, очень мало солнечных дней в году (HL, 4266);про_метафора;kuda_otkuda
FL;В Финляндии неформальнее — мы говорим на ты в преподавателей и начальником (FL, 4987);коммуникация;kuda_otkuda
HL;Он взял много вдохновения от голландского флага на российский флаг (HL, 7111);другой;kuda_otkuda
FL;Когда учительница старалась тянуть меня за рукав, я укусил за неё (FL, 6216);контакт;kuda_otkuda
HL;С уважением относиться к себе и другим и быть благодарной к всему (HL, 4384);эмоции;kuda_otkuda
FL;"Влюбившихся на одну женщину (FL, 4470); ";эмоции;kuda_otkuda
FL;Он влюблён на другую женщину (FL, 4713);эмоции;kuda_otkuda
FL;Виноват на то, что политики такие (FL, 4901);эмоции;kuda_otkuda
FL;Доволна в своя жизн (FL, 4486);эмоции;kuda_otkuda
FL;На что человек недоволен (FL, 4975);эмоции;kuda_otkuda
FL;Доволен к моей жизни (FL, 4837);эмоции;kuda_otkuda
FL;Проста верят в друзей или в родителей (FL, 4895) ;эмоции;kuda_otkuda
FL;К их словам действительно можно доверять (FL, 4602);эмоции;kuda_otkuda
FL;Я была в шоке, не могла верить в свои уши (FL, 4969);эмоции;kuda_otkuda
FL;Ребенок не понимает почему так обращаются на его (FL, 4975);эмоции;kuda_otkuda
HL;Все согласны на то, что интернет облегчает всем поиск информации (HL, 4259);эмоции;kuda_otkuda
FL;Я бил его на лицо (FL, 6277);контакт;kuda_otkuda
FL;Надо было бить их всех тоже на лицо (FL, 6277);контакт;kuda_otkuda
FL;Укусила мою восьмилетнюю младшую сестру на руку (FL, 4898);контакт;kuda_otkuda
FL;Солнечнее того, на что мы привыкли всю зиму (FL, 4596);контакт;kuda_otkuda
FL;Соединиться на другого духа человека (FL, 4705);контакт;kuda_otkuda
HL;Сюжет с актёром, который спотыкается на шкуру банана (HL, 4287);контакт;kuda_otkuda
HL;Подталкивать на порождение искуства (HL, 4339);контакт;kuda_otkuda
HL;что подталкивает их на это? (HL, 4362);контакт;kuda_otkuda
FL;Николаи Первыи придержался к своему слову (FL, 4733);коммуникация;kuda_otkuda
HL;Самцы подкрадываются пот самку (HL, 4440);контакт;kuda_otkuda
FL;Причина в то (FL, 4964);абс_сущ;kuda_otkuda
FL;причин на то (FL, 4649) ;абс_сущ;kuda_otkuda
FL;"Юри чувствует себя плохо; причина на этого смерт его отца (FL, 4713)";абс_сущ;kuda_otkuda
FL;Pешение на все мои проблемы (FL, 4870);абс_сущ;kuda_otkuda
FL;Решения к проблемам (FL, 4999) ;абс_сущ;kuda_otkuda
FL;Влияние ко мне (FL, 5079);абс_сущ;kuda_otkuda
FL;После возвращения к родине (FL, 4976);про_метафора;kuda_otkuda
FL;Способность на языки (FL, 4597) ;абс_сущ;kuda_otkuda
FL;Перспективы на рост (FL, 4779);абс_сущ;kuda_otkuda
FL;Позиций к многим темам (FL, 4460);абс_сущ;kuda_otkuda
FL;Оброшение к животнами (FL, 4850);абс_сущ;kuda_otkuda
FL;Доступность на эти образования (FL, 4636) ;абс_сущ;kuda_otkuda
FL;Подход на понятие (FL, 5041);абс_сущ;kuda_otkuda
HL;Отношение на иммигрантов (HL, 4324);абс_сущ;kuda_otkuda
HL;Идея на мою выбранную тему (HL, 4264);абс_сущ;kuda_otkuda
HL;Мнение у друг друга почти на каждую покупку (HL, 4324);абс_сущ;kuda_otkuda
HL;Гордость русских на свой родной язык (HL, 4324);абс_сущ;kuda_otkuda
HL;Просвещение к новой работе (HL, 6032);абс_сущ;kuda_otkuda
HL;Понимание в первую очередь к самому себе (HL, 4385);абс_сущ;kuda_otkuda
HL;Сопротивление народа к западным идеям (HL, 4313);абс_сущ;kuda_otkuda
HL;У меня нету к ним особенной ностальгии (HL, 4257);абс_сущ;kuda_otkuda
HL;Падение с высоты или страсть к смерти (HL, 6001);абс_сущ;kuda_otkuda
HL;Метод к обучения всех языков (HL, 4265);абс_сущ;kuda_otkuda
HL;Сомневаюший взгляд финнов к русским (HL, 4272);зрение;kuda_otkuda
HL;Примером к этому, перескожу заметку (HL, 4260);абс_сущ;kuda_otkuda
FL;Цель, к которой они хотят влиять (FL, 6208);абс_сущ;kuda_otkuda
FL;"К семье, живущей в доме, принадлежат четыре человек (FL, 4799);";абс_сущ;kuda_otkuda
FL;Это всё принадлежит к путешествию (FL, 5055);абс_сущ;kuda_otkuda
FL;Совсем не несоответствующие к проблеме советы (FL, 4999);абс_сущ;kuda_otkuda
HL;не имеет никакои значение на то, как она на человеке выгледит (HL, 4290);абс_сущ;kuda_otkuda
HL;играют тоже очень большую роль на самочувствие каждого (HL, 4442);абс_сущ;kuda_otkuda
FL;Я остался от неприятностей (FL, 4638);удаление;kuda_otkuda
HL;Я всё время пытаюсь избежать от скучных дел (HL, 4277);удаление;kuda_otkuda
FL;Люди будут отказаны от работы (FL, 4722);удаление;kuda_otkuda
HL;Эти особенности рождаются от истории (HL, 4255);причина;kuda_otkuda
HL;От действия коммерческого дизайна люди покупают вещи (HL, 4260);причина;kuda_otkuda
HL;Пол определяется от того хромосома который находятся в сперматозоиде (HL, 4416);причина;kuda_otkuda
FL;У меня картина А. На мою картинку на первом этаже в гостиной — одна мышь (FL, 6160);куда - где;kuda_otkuda
FL;После один год на работу, я очень скучала по учёбе (FL, 4840);куда - где;kuda_otkuda
FL;И в школу было очень сплочённый коллектив (FL, 6247);куда - где;kuda_otkuda
FL;Уже в гимназию мои учительницы всегда жаловались, что я изучаю слишком много (FL, 4953);куда - где;kuda_otkuda
FL;В Финляндию Таня пошла в школу и там выучила язык (FL, 4880);куда - где;kuda_otkuda
FL;Статья является довольно короткой, нейтральной и объективной, но в нее также есть слова, которые рассказывают о критическом отношении к случаю (FL, 4688);куда - где;kuda_otkuda
FL;В гимназию Анна встретила молодой человекь ее — Александр Петров (FL, 4760);куда - где;kuda_otkuda
FL;Темы репортажи сегоднашная и будушая Россия, знание о России в Финляндии, проекти с энергии в России, мир рестораны в Москву и зельское-хозяйство в России (FL, 4709);куда - где;kuda_otkuda
FL;Да, да, ну сейчас уже нормально, но когда это был новый на границу, всегда был странно (FL, 9101);куда - где;kuda_otkuda
FL;Летом природа в Финляндию зеленее и красивее, чем зимой (FL, 4503);куда - где;kuda_otkuda
FL;После неполная средняя школа она училась в гимнаяию (FL, 4760);куда - где;kuda_otkuda
FL;Оба я изучал в гимназию (FL, 6119);куда - где;kuda_otkuda
FL;Между уроками он изучает общую лингвистику в библиотеку (FL, 6139);куда - где;kuda_otkuda
FL;Он работал в хлебопекарню Пурсиаинен (FL, 4923);куда - где;kuda_otkuda
FL;Они ухаживают за садом на дачу, ходят на танцы, занимаются спортом (FL, 4707);куда - где;kuda_otkuda
FL;Мне было очень скучно сидеть в школу в первом классе (FL, 4977).;куда - где;kuda_otkuda
FL;Как сказано, наша личность видна на ту, в каких группах мы хотим состоять (FL, 4640);куда - где;kuda_otkuda
FL;Он встречал мою двоюродною сестру, когда она была в свадебное путешествие с финской мужчиной (FL, 4902);куда - где;kuda_otkuda
FL;Мы попробуем покупать большинство еду в большее супермаркет, где мы ездим (FL, 4851);куда - где;kuda_otkuda
FL;Музей работает в старый дом, построен в начале ХХ- века (FL, 6122);куда - где;kuda_otkuda
FL;В Финляндии все продукты в один супермаркет, а например во Франции свой магазин (FL, 4818);куда - где;kuda_otkuda
FL;В России транспорт в большие городы эффективный (FL, 4742);куда - где;kuda_otkuda
FL;Ну, я тоже был на курс в университет на русском языке (FL, 9101);куда - где;kuda_otkuda
FL;Мы много встретимся ц друзями, плаваем много, в бассейн или в озере или в море (FL, 4853);куда - где;kuda_otkuda
FL;"В ручей вода весело журчает (FL, 4931);";куда - где;kuda_otkuda
FL;"В туалет одна мышка лежит рядом с унитазом, возможно она спит (FL, 4986);";куда - где;kuda_otkuda
FL;"В супермаркеты можно смотреть самостоятельнее, чем в маленьких магазинах (FL, 4549);";куда - где;kuda_otkuda
FL;"В рай или в аду? (FL, 6177);";куда - где;kuda_otkuda
FL;"На втором этаже в ванной и в туалет нет мышей (FL, 4937);";куда - где;kuda_otkuda
FL;"В ванной или в туалет мышей нет (FL, 6156);";куда - где;kuda_otkuda
FL;Я считаю, что сейчас в газеты слишком много новости о других преступлениях (FL, 6256).;куда - где;kuda_otkuda
FL;В Таллин более интересние места где можно ходить (FL, 4778);куда - где;kuda_otkuda
FL;В Таллин можно пригать и играть на более радостных детских игровых пложадках (FL, 4778);куда - где;kuda_otkuda
FL;В Таллин очень многие хорошие и маленькие, симпатичные рестораны и кафе (FL, 4778);куда - где;kuda_otkuda
FL;Мне нравиться делать покупки, и в Таллин продавают более красивые и оригинальные рукоделих (FL, 4778);куда - где;kuda_otkuda
FL;В группе был 10.00людей, а мы встретились только в гостинце в Таллинн (FL, 5096);куда - где;kuda_otkuda
FL;Шведские и финские книги очень трудно найти в интеренет по поводу законы копивригт (FL, 4709), испр. по поводу закона об авторском праве, транслитерация искаженного слова *copywright (copyright), которое представляет собой орфографическую контаминацию созвучных right и write;куда - где;kuda_otkuda
FL;Всё ближе чем в Стокгольм, где надо ездить на метро или трамвае (FL, 4778);куда - где;kuda_otkuda
FL;Дети любят зоопарк там, где можно сама делать больше чем в зоопарке в Стокгольм (FL, 4778);куда - где;kuda_otkuda
FL;Парки там более зелёние и хорошие чем в Стонкгольм (FL, 4778);куда - где;kuda_otkuda
FL;Я тоже путешествовала около три недели, была в Лондоне, Амстердам и Бремен (FL, 4831);куда - где;kuda_otkuda
FL;В Лондоне слишком много народу и в Бремен они не говорят по-английски (FL, 4831);куда - где;kuda_otkuda
FL;Несколько лет назад я была с моей мамой в Рим и ненавидела эту поездку (FL, 4953);куда - где;kuda_otkuda
FL;Я мечтаю о работе в Институте Права Восточной Европы в Кёльн или в Министерстве иностранных дел (FL, 4958);куда - где;kuda_otkuda
FL;Весной я буду жить в Тверь 10 неделей (FL, 6194);куда - где;kuda_otkuda
